Hidraulica;Termica;CARGA;EARM;ENA;Pesado
6326.86;271.86;7038.14;54.91;37.57;18.58
6139.57;240.86;6790.71;801.34;42.57;18.54
6365.29;256.14;7152.43;52.35;51.57;21.36
6144.71;320;6979.29;52.82;61.71;20.15
6243.43;151.43;6852.29;54.21;72.57;18.33
6316;203.29;6981.71;58.4;96.43;18.33
6342.71;154.71;7035.14;62.61;111.71;18.33
5642.71;212.86;6703.71;62.31;117.71;18.33
727.57;37.86;911.29;67.08;127;16.92
5869.71;186.86;6932.57;72.53;121.57;16.92
6016;166.86;6968.29;74.98;110.86;16.92
6004.29;267.57;7076.29;76.96;103.57;16.92
6044;95.43;7108.71;77.42;76.14;34.32
6072.43;202.29;7155.71;77.35;40.71;37.62
6002.43;123;7101.71;77.19;37;45.04
6161.14;98.43;7067.14;77.55;38.43;30.73
5648.86;169.29;6648.57;77.82;41.57;40
6101.57;106.14;7129.14;78.03;43.29;40.27
5101;116.29;6982.71;80.01;44.29;39.27
5090;206.71;6922.43;83.53;50.57;32.67
5412.86;176.86;6989;87.44;58.86;31.16
5430.71;204.14;5899.14;92.28;163;16.92
5565.29;166.57;6731.86;95.55;148.43;16.92
5960.86;263.57;6676.57;97.51;134;16.92
